Date,Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
9/12/2012,9:00,19.6,11.9,61,7,48.3,102.05,Clear
9/12/2012,10:00,21.9,13.2,58,11,48.3,102.02,Mainly Clear
9/12/2012,11:00,23.9,13.3,51,20,48.3,101.98,Clear
9/12/2012,12:00,25.3,13.4,48,19,48.3,101.95,Mainly Clear
9/12/2012,13:00,26.1,14.0,47,13,48.3,101.87,Mainly Clear
9/12/2012,14:00,26.9,13.5,44,17,48.3,101.84,Mainly Clear
9/12/2012,15:00,27.3,13.4,42,17,48.3,101.8,Mainly Clear
9/12/2012,16:00,27.3,12.2,39,19,48.3,101.77,Mainly Clear
9/12/2012,17:00,26.8,11.6,39,17,48.3,101.77,Mainly Clear
9/12/2012,18:00,25.0,12.9,47,11,48.3,101.78,Mainly Clear
9/12/2012,19:00,22.2,15.0,64,11,25.0,101.83,Mainly Clear
9/12/2012,20:00,22.4,14.0,59,11,25.0,101.88,Mainly Clear
9/12/2012,21:00,22.2,13.2,57,11,25.0,101.91,Clear
9/12/2012,22:00,21.0,14.4,66,13,25.0,101.95,Mainly Clear
9/12/2012,23:00,20.2,14.6,70,11,25.0,101.96,Mainly Clear
9/13/2012,0:00,19.8,13.6,67,9,25.0,101.96,Mainly Clear
9/13/2012,1:00,19.5,13.4,68,7,25.0,101.97,Mainly Clear
9/13/2012,2:00,16.3,12.9,80,11,25.0,101.98,Mainly Clear
9/13/2012,3:00,15.7,13.1,85,9,25.0,101.96,Clear
9/13/2012,4:00,15.5,12.8,84,11,25.0,101.96,Clear
9/13/2012,5:00,14.9,11.8,82,4,25.0,102.0,Clear
9/13/2012,6:00,15.7,12.4,81,6,48.3,102.02,Mainly Clear
9/13/2012,7:00,18.1,13.8,76,6,48.3,102.03,Mainly Clear
9/13/2012,8:00,19.8,12.8,64,9,48.3,102.04,Mainly Clear
9/13/2012,9:00,21.5,13.7,61,13,48.3,102.05,Mainly Clear
9/13/2012,10:00,22.6,14.2,59,17,48.3,102.05,Mainly Clear
9/13/2012,11:00,24.6,14.8,54,15,48.3,102.02,Mainly Clear
9/13/2012,12:00,26.2,14.9,50,17,48.3,101.97,Mainly Clear
9/13/2012,13:00,27.3,14.2,45,19,48.3,101.89,Mainly Clear
9/13/2012,14:00,27.9,13.7,42,24,48.3,101.82,Mainly Clear
9/13/2012,15:00,28.2,13.9,42,22,48.3,101.77,Mainly Clear
9/13/2012,16:00,28.4,14.0,41,19,48.3,101.73,Mainly Clear
9/13/2012,17:00,27.8,13.1,40,20,48.3,101.73,Mainly Clear
9/13/2012,18:00,26.0,14.7,50,9,48.3,101.71,Mainly Clear
9/13/2012,19:00,24.2,15.8,59,11,25.0,101.72,Mainly Clear
9/13/2012,20:00,23.2,15.7,63,11,25.0,101.74,Clear
9/13/2012,21:00,22.3,16.0,68,13,25.0,101.71,Mainly Clear
9/13/2012,22:00,21.8,15.2,66,15,25.0,101.7,Mainly Clear
9/13/2012,23:00,20.7,15.3,71,13,25.0,101.72,Clear
9/14/2012,0:00,19.5,15.5,78,9,25.0,101.72,Clear
9/14/2012,1:00,16.6,14.9,90,0,25.0,101.71,Clear
9/14/2012,2:00,18.2,14.8,81,4,25.0,101.69,Clear
9/14/2012,3:00,16.4,14.2,87,6,25.0,101.67,Clear
9/14/2012,4:00,15.9,13.7,87,9,25.0,101.66,Clear
9/14/2012,5:00,16.4,14.1,86,4,25.0,101.65,Mostly Cloudy
9/14/2012,8:00,19.5,15.1,76,9,24.1,101.63,Mostly Cloudy
9/14/2012,10:00,22.6,15.4,64,13,24.1,101.56,Mostly Cloudy
9/14/2012,14:00,27.3,16.4,51,9,48.3,101.27,Mostly Cloudy
9/14/2012,22:00,15.5,14.2,92,0,19.3,101.21,Rain Showers
9/14/2012,23:00,15.9,15.4,97,13,16.1,101.13,Rain Showers
9/15/2012,4:00,14.2,12.2,88,30,25.0,101.12,Mostly Cloudy
9/15/2012,6:00,13.4,11.1,86,22,24.1,101.25,Mostly Cloudy
9/15/2012,7:00,13.8,10.5,80,20,24.1,101.36,Mostly Cloudy
9/15/2012,8:00,14.6,10.5,76,19,24.1,101.44,Mainly Clear
9/15/2012,9:00,14.9,9.7,71,19,24.1,101.5,Mostly Cloudy
9/15/2012,10:00,16.0,9.6,66,22,24.1,101.51,Mostly Cloudy
9/15/2012,11:00,16.1,7.8,58,22,48.3,101.49,Mostly Cloudy
9/15/2012,12:00,16.6,7.3,54,17,48.3,101.49,Mostly Cloudy
9/15/2012,13:00,16.6,7.9,56,20,48.3,101.44,Mostly Cloudy
9/15/2012,14:00,16.2,7.5,56,22,24.1,101.39,Rain Showers
9/15/2012,15:00,14.2,11.4,83,13,24.1,101.41,Mostly Cloudy
9/15/2012,16:00,16.6,9.2,62,17,24.1,101.36,Mainly Clear
9/15/2012,17:00,14.2,8.7,69,22,24.1,101.39,Rain Showers
9/15/2012,18:00,13.3,8.6,73,7,24.1,101.4,Mostly Cloudy
9/15/2012,19:00,12.7,7.1,69,13,25.0,101.42,Mainly Clear
9/15/2012,20:00,11.6,6.3,70,11,25.0,101.46,Mainly Clear
9/15/2012,21:00,9.9,6.1,77,13,25.0,101.48,Mainly Clear
9/15/2012,22:00,8.5,5.7,83,7,25.0,101.51,Clear
9/15/2012,23:00,7.9,5.6,85,9,25.0,101.5,Clear
